id,b_true,b_pred,n
124,-5.5232283,-5.28587433,118
125,3.968633567,3.741105199,145
126,-1.175824837,-1.432826435,54
127,-2.648130323,-2.796721215,104
128,-1.343720333,-1.277304162,80
129,1.200443224,1.010977573,99
130,1.797634318,2.05111541,67
131,1.02709434,0.970673721,92
132,1.222940514,1.174459478,113
133,-1.297284617,-1.365086382,67
134,1.465768389,1.366340071,232
135,-2.847779423,-2.833656445,143
136,-0.535044922,-0.587321169,67
137,0.17561756,0.122509706,198
138,-1.229827633,-1.201454521,130
139,0.12067259,0.166722161,157
140,-6.98336782,-6.999425756,97
141,5.214843116,5.096143013,104
142,-0.173210789,-0.121773185,52
143,0.707388918,0.878297778,106
144,1.736398623,1.760240359,73
145,-0.434608025,-0.297603606,116
146,-2.570716791,-2.697913665,178
147,0.651619638,0.537341551,110
148,5.183398336,5.133193639,87
149,3.333962887,2.920977806,68
150,0.705202579,0.696245169,184
151,1.604313285,1.456749803,155
152,-4.139432208,-4.309771116,65
153,-1.219434788,-1.283383626,124
154,-2.248631526,-2.558542525,55
155,-0.850298753,-0.773319211,89
156,3.453092639,3.338536168,103
157,-0.520774508,-0.41691892,64
158,1.229710236,1.165707499,127
159,-2.600875609,-2.68611008,141
160,-8.262930699,-8.030062369,80
161,-1.164500387,-1.301181598,83
162,-8.384771264,-8.122027885,119
163,-2.917789742,-3.011471669,73
164,-9.121901401,-9.453307717,19
165,3.179845905,2.971195391,127
166,3.84279141,3.685814051,54
167,-0.538806551,-0.46956932,119
168,7.642085071,7.442769729,54
169,2.294617164,2.183841399,84
170,-2.046978253,-2.115878298,44
171,0.643116553,0.73293706,92
172,1.843837772,1.844754934,157
173,-7.893938753,-7.80965991,163
174,-3.891167864,-3.907380398,172
175,-0.085748984,-0.384366689,99
176,3.831063683,3.438904393,57
177,3.638536642,3.572262805,133
178,3.507436961,3.167824667,72
179,-2.509937682,-2.488885134,129
180,-1.597849898,-1.590603819,154
181,-3.560696174,-3.633929581,132
182,-2.924447015,-3.039921674,74
183,2.094648005,1.938503022,117
184,-2.008679934,-2.257443694,46
185,-4.103149496,-4.011052484,122
186,-0.90897787,-0.776231941,151
187,-1.873230821,-1.875593732,161
188,5.69788623,5.565098865,81
189,2.323857567,2.191338187,93
190,3.608403019,3.405263011,88
191,-2.564175233,-2.831693092,68
192,3.683106066,3.573870095,113
193,4.213761536,4.064637252,135
194,6.660549602,6.302192229,25
195,2.224225826,2.254695156,54
196,2.13743286,1.88635448,76
197,-0.441707098,-0.344202136,89
198,-2.679108146,-2.873509325,88
199,4.831188646,4.385957448,48
200,3.147066807,3.18597722,126
201,6.29272426,6.220286024,71
202,-3.316530338,-3.230168304,43
203,-3.541790735,-3.414157855,157
204,-1.366858812,-1.413519224,144
205,-8.866408848,-8.768561339,84
206,2.627514546,2.614519844,25
207,-3.513518333,-3.052271034,49
208,2.93792652,2.72212605,148
209,-2.000691857,-2.071727593,120
210,-4.543838758,-4.464824818,105
211,-1.118827331,-1.246218578,46
212,2.792053553,2.534385648,53
213,3.118492515,3.225065124,76
214,0.782209152,0.744708975,58
215,3.389067724,3.293697843,134
216,2.774835128,2.596201229,71
217,-0.601863421,-0.725329694,96
218,-3.929908392,-3.910822317,249
219,-2.264477537,-2.287635464,147
220,-3.223883266,-3.172796803,127
221,-2.865160955,-2.6830123,51
222,0.10879895,-0.069215822,132
223,-5.801655798,-5.697043619,204
224,-1.246787896,-1.343853484,242
225,-0.379076435,-0.556119102,171
226,-1.773208637,-1.857007029,166
227,5.042814858,4.781669351,65
228,0.176575174,0.356981607,48
229,-6.020345638,-6.166969406,138
230,-2.329954646,-2.239932046,120
231,2.224128889,2.065885123,115
232,-0.686276633,-0.795006847,30
233,1.3183575,1.358902054,83
234,0.433242418,0.464128376,49
235,2.955048547,2.990811931,214
236,2.956591018,2.880586366,108
237,-6.546642198,-6.557853347,140
238,-2.136993954,-1.987472619,155
239,7.187465782,6.868601683,17
240,-3.931853284,-3.832168798,56
241,4.472021103,4.494123363,149
242,-0.380848081,-0.350702126,48
243,-1.497305193,-1.310477738,47
244,-0.1929141,-0.121464273,76
245,-1.29739275,-1.189135,79
246,-1.002217088,-0.942390888,159
247,-4.847816982,-4.886743734,79
248,2.141981658,1.851948649,52
249,-1.714803501,-1.660844102,155
250,-0.400170042,-0.349023432,86
251,1.02041955,0.969745858,134
252,3.736027676,3.775996687,118
253,0.319718719,0.292073041,76
254,-2.875709621,-2.65849255,91
255,1.399928511,1.224968184,59
256,-3.908815855,-3.821459297,122
257,8.392433239,8.373702298,79
258,-4.594432876,-4.324701336,52
259,0.236427378,0.207151695,95
260,-3.227403402,-3.061206613,55
261,-3.35832582,-3.496851873,50
262,-1.728466979,-1.59019994,95
263,3.255836466,3.231393439,78
264,1.483122787,1.590069898,98
265,-3.110122831,-2.963193701,104
266,-4.984491012,-4.859411362,184
267,2.981684534,2.942460822,175
268,-2.395279908,-2.653318097,44
269,3.130418639,2.971811499,49
270,-6.832230509,-6.760506077,116
271,-2.709260023,-2.512002948,44
272,-3.474546475,-3.636468341,132
273,4.847847635,4.876960412,130
274,-0.601832425,-0.284591832,87
275,1.424428939,1.231513624,139
276,2.358234322,2.358590847,100
277,-0.839911007,-1.116815229,97
278,2.686696156,2.776877045,50
279,-3.432904229,-3.108578591,97
280,-0.169141713,-0.110455849,84
281,3.978825888,3.778816119,17
282,3.659358238,3.529034052,34
283,2.189046235,2.229368206,63
284,0.853599052,0.989244705,93
285,3.130762713,2.902980258,54
286,-1.559721639,-1.416934672,144
287,-0.901332026,-0.825627405,145
288,-5.792822883,-5.8767755,42
289,7.124282116,6.830377925,53
290,-1.034611742,-0.844342243,22
291,2.774352409,2.85681754,144
292,-1.690646967,-1.734447545,101
293,4.411397131,4.189485019,91
294,-4.334823825,-4.062892907,69
295,4.742851582,4.505555431,99
296,0.17122616,0.024764567,136
297,2.46342272,2.347070291,110
298,-0.442475469,-0.486814954,108
299,1.500576914,1.38951017,65
300,3.289864794,3.135556744,82
301,2.07613739,2.161860143,162
302,-2.825499994,-2.649026077,79
303,-2.208616145,-2.029488099,100
304,5.88131601,5.923117014,70
305,-0.883506697,-0.899030408,75
306,-1.011682026,-1.13281199,116
307,1.431201347,1.496327014,46
308,-3.034510419,-3.104197407,104
309,-0.738480095,-0.74977001,155
310,-3.116127796,-3.383882102,54
311,2.308949438,2.110682311,183
312,4.766180658,4.721776114,130
313,4.071041244,3.898092788,51
314,-1.166044325,-1.153897934,104
315,0.029161709,0.000844077,100
316,-4.164704718,-4.277468483,79
317,-1.102075364,-1.447025557,64
318,1.88523297,1.804786365,222
319,3.411403906,3.309289811,103
320,-7.027301517,-6.819766019,117
321,-0.41251195,-0.644537154,44
322,2.321346717,2.21121231,95
323,-0.930429274,-1.102615683,103
324,0.453925727,0.41898118,93
325,-5.27807099,-5.184309095,115
326,-1.339206896,-1.33531726,93
327,-5.001133112,-5.110675533,74
328,2.081150745,1.919025214,61
329,-3.22120384,-3.253100316,79
330,-3.323588809,-3.418592125,80
331,-4.915849386,-5.028922383,46
332,3.414446303,3.239644937,160
333,-1.818398122,-1.938831689,86
334,3.587353286,3.234057525,78
335,-0.846477396,-0.918633224,220
336,-4.516982019,-4.6027468,138
337,-2.151245662,-2.037406492,97
338,-1.336518507,-1.298377351,100
339,-1.164779509,-1.143016148,164
340,0.902939262,0.790426615,84
341,-1.267226815,-1.186330773,59
342,1.990976453,2.052147481,109
343,-0.248782774,-0.406467328,53
344,0.579380645,0.416636819,99
345,2.92371216,2.846883662,94
346,-3.670815311,-3.656031735,106
347,5.011034276,4.955631766,47
348,-4.066299807,-3.97665839,88
349,-2.244934925,-2.208803848,159
350,-2.868617189,-2.8662728,99
351,-1.594240743,-1.791049195,73
352,-0.254656816,-0.228493565,67
353,-0.680962451,-0.808255526,87
354,-2.732167535,-2.978424553,74
355,4.087249269,3.971509364,80
356,-0.915479346,-1.159539357,63
357,-3.017443322,-2.830412521,102
358,-4.457899914,-4.503306031,72
359,-4.102504704,-4.105379676,189
360,-7.615191337,-7.563002491,127
361,4.897688618,4.765453332,96
362,1.725037482,1.769847727,149
363,2.010323864,2.138757549,74
364,3.444640915,3.28297221,107
365,1.700638759,1.730304178,91
366,1.739800739,1.820793572,32
367,1.053686766,0.95732272,111
368,-1.549049737,-1.452727556,153
369,4.428908591,4.34990308,155
370,4.207655381,4.043539755,85
371,3.140213448,3.164140887,65
372,0.656550144,0.581816246,171
373,1.320618515,1.233713425,203
374,-2.092932728,-2.162991329,74
375,1.288097679,1.208896054,98
376,0.524120396,0.288719398,93
377,2.239184334,2.034403555,92
378,-1.652525886,-1.736351567,145
379,1.329164574,1.310951494,87
380,0.969054155,0.733205667,49
381,4.007124471,3.963743615,77
382,2.020158801,1.780516115,104
383,-0.540976066,-0.598831477,135
384,-0.438032119,-0.601418688,67
385,-1.622878364,-1.749560684,85
386,-2.353695959,-2.320471417,163
387,-2.816812723,-2.915584739,115
388,3.010826582,3.231971732,59
389,-5.371277329,-5.379895445,68
390,-2.441872686,-2.203505902,31
391,2.04348939,2.039444612,148
392,7.397313333,7.205222609,108
393,-2.451629722,-2.787747111,51
394,-0.791877567,-0.687297586,110
395,-1.862830949,-1.957828145,117
396,1.166883549,1.109422099,49
397,-0.177585768,-0.255378709,114
398,3.804221776,3.745170608,96
399,3.695732149,3.534058772,124
400,1.752887581,1.674897926,155
401,-0.655164142,-0.727135056,72
402,-4.185356338,-4.055853865,56
403,5.934321369,5.815977957,64
404,-1.473167201,-1.58432832,170
405,-4.386324776,-4.349987197,76
406,1.178041325,0.923080403,43
407,2.577410822,2.46294178,73
408,7.020447161,6.661468069,168
409,2.684207476,2.759592773,127
410,0.027565888,0.105568547,105
411,-1.019459752,-1.063084043,52
412,1.14146816,1.059041226,69
413,2.046638538,1.908034626,117
414,0.091448774,0.008509533,146
415,-2.417944111,-2.410654444,126
416,2.474537589,2.439643159,190
417,-2.620313231,-2.452204308,61
418,2.003347551,2.116248233,102
419,-2.434524217,-2.361972396,49
420,-0.647166989,-0.8433808,66
421,1.825744289,1.836071406,62
422,0.661673903,0.668611848,183
423,-3.72161119,-3.651015969,57
424,-3.375493397,-3.252300569,139
425,0.736634592,1.038981665,92
426,-1.91052871,-1.851941996,110
427,-4.821933103,-4.673319727,117
428,-2.995045941,-3.178668037,24
429,-0.768183331,-0.869384056,179
430,-0.958842345,-0.892887907,73
431,6.077842844,5.932528583,157
432,0.384481447,0.287620611,45
433,5.611337487,5.477163045,90
434,3.936186666,4.07236396,42
435,-0.778122395,-0.775822803,81
436,4.810431093,4.880984868,98
437,1.419057801,1.374589691,97
438,-4.821038911,-4.790539459,95
439,0.013022739,0.022798029,78
440,-3.694348246,-3.617275783,158
441,1.744665734,1.729892067,182
442,-1.329960651,-1.294906982,97
443,-5.428890384,-5.046506165,19
444,2.907531738,2.649570857,46
445,0.469957954,0.169850321,46
446,-0.736887649,-0.741148924,122
447,1.351688055,0.81644444,41
448,1.092307717,0.855764786,137
449,-4.518493275,-4.481654566,74
450,0.603500963,0.700961008,119
451,-2.434303866,-2.871756519,50
452,6.806571692,6.701360373,163
453,-4.946164305,-4.709236309,105
454,0.342950903,0.510907505,87
455,-3.121747,-3.212188364,186
456,-5.687464775,-5.8474829,69
457,-1.709965331,-1.883879104,81
458,-4.247021424,-4.335639923,84
459,1.619104936,1.652123088,147
460,-1.963204358,-2.110021566,131
461,1.375754153,1.485321039,184
462,1.025309224,1.084784157,91
463,-3.15588377,-3.002552535,120
464,1.058468619,0.912217358,51
465,-1.396111216,-1.482360455,67
466,-0.647232246,-0.400112648,78
467,2.916069997,2.861668404,66
468,1.152687698,0.909331716,68
469,4.646963081,4.210536964,35
470,8.533015414,8.155263971,177
471,1.242847613,1.139671381,57
472,-1.759043802,-1.769015098,77
473,-0.164076235,-0.227593524,216
474,3.699659941,3.664920077,146
475,5.92996653,5.877175322,73
476,-1.290924488,-1.384601132,189
477,-3.662612006,-3.469982531,62
478,-0.120908324,-0.014196604,159
479,2.149052358,1.994012358,106
480,-2.607216552,-2.547672153,49
481,1.471534848,1.554914171,97
482,-0.121267288,-0.128320023,87
483,5.157265544,5.128041356,227
484,4.389268428,4.328888005,141
485,-1.56437665,-1.679851137,68
486,1.74254189,1.712833687,110
487,-0.644862858,-0.482724611,70
488,2.842601412,2.712390625,227
489,-2.904820709,-2.8796465,80
490,1.094317702,1.032046445,99
491,-0.217975938,-0.115374887,105
492,-3.756728748,-3.537752271,92
493,4.092825179,4.060343869,51
494,2.069478538,1.953601471,51
495,-3.996680355,-4.158520391,53
496,-2.735693453,-2.713413519,106
497,2.576744936,2.612130442,131
498,-5.545482453,-5.440253852,118
499,-0.224001926,-0.122165367,65
500,-6.091904007,-6.07599393,73
501,-3.627508335,-3.560264155,65
502,1.185042485,1.318937102,43
503,6.254162298,5.900488514,85
504,-1.12154557,-1.146500503,139
505,-2.443962647,-2.271744111,43
506,3.282461787,3.217620104,151
507,1.482357345,1.489003143,100
508,-6.810255398,-6.678052627,78
509,0.16588892,0.061303268,51
510,-0.988806445,-0.873893789,75
511,0.531827567,0.493552754,126
512,5.290790543,5.491272745,78
513,-1.013326239,-1.218288483,102
514,0.545690284,0.465954429,121
515,8.123783652,7.716087214,100
516,-4.366822287,-4.443787902,69
517,-0.96401687,-0.901644707,143
518,3.105473851,3.021824877,69
519,-1.572828278,-1.613140426,148
520,-3.520815389,-3.345033146,92
521,0.925071159,0.921020125,130
522,-4.305458477,-4.338253645,19
523,-5.413843389,-5.30340512,79
524,3.34753237,3.206778895,51
525,1.238341406,1.247566686,110
526,1.302532305,1.244839876,65
527,-1.45959168,-1.499735596,69
528,-3.221344475,-3.429493103,126
529,0.082983879,0.158705579,120
530,-3.342965135,-3.223352426,71
531,-3.197508768,-3.33082041,120
532,2.197572161,1.922460044,53
533,-3.43369475,-3.437336406,147
534,-3.139562663,-3.113458544,156
535,0.450617882,0.678578595,78
536,-1.702652581,-1.963339423,58
537,-1.391293859,-1.656017405,97
538,1.009463514,1.002115028,119
539,-0.570505115,-0.761370484,48
540,8.993644558,8.995997006,117
541,-1.91132755,-1.979415982,92
542,1.194593421,1.227396934,67
543,1.020147656,1.177576835,68
544,-2.162717241,-1.907326781,104
545,3.091706782,3.001503644,162
546,-0.460576975,-0.639154184,24
547,3.910869759,3.922981652,116
548,1.862937256,1.760041029,68
549,-5.392490362,-5.444534213,115
550,-0.422958628,-0.532050798,122
551,-4.821723174,-4.785167272,109
552,1.955803731,2.123550884,57
553,-4.740266557,-4.663106841,185
554,5.888977363,5.545409271,86
555,1.967324291,1.992477609,179
556,0.401396723,0.127174355,57
557,-0.99327434,-0.95937666,82
558,1.594128501,1.224262978,91
559,7.456158318,7.152561694,142
560,-0.824013387,-0.953609689,64
561,-2.966775381,-2.940651148,101
562,-0.678895432,-0.997676488,50
563,3.2517381,3.132357235,181
564,0.959738322,1.024965625,144
565,-4.417935246,-4.165034306,74
566,0.927598005,0.66130039,64
567,-2.855638911,-2.689735648,137
568,-2.81240509,-2.964934437,140
569,-3.25894008,-3.175794384,99
570,0.899478653,0.749514635,113
571,-2.434179962,-2.679265005,55
572,1.668484478,1.681189624,154
573,2.958001753,2.792699131,136
574,-1.708278328,-1.68287785,118
575,-3.141102335,-3.154982003,100
576,2.599297988,2.494456037,62
577,4.339650496,3.945194266,107
578,5.239892706,5.069527513,123
579,5.184986455,5.433423087,52
580,4.886124446,4.861641929,143
581,4.582338542,4.430832039,92
582,-5.414141239,-5.247907707,25
583,-2.059976635,-1.960266034,166
584,3.370786231,3.189255245,216
585,-1.441866987,-1.510353317,114
586,-2.929928099,-3.07299022,90
587,1.888823057,1.772785647,53
588,-3.665604982,-3.755518079,106
589,2.705565056,2.572443422,119
590,-3.192283596,-3.06429826,97
591,2.350866006,2.441750458,139
592,-0.90984914,-0.883971431,96
593,4.035033045,3.953295616,91
594,0.77127046,0.7303578,127
595,-0.610082006,-0.361857349,97
596,4.233209218,4.069982156,246
597,-6.510212293,-6.177366413,94
598,5.007228061,5.107192917,167
599,0.555009273,0.823453402,23
600,0.070538826,0.104986703,125
601,3.028595861,2.968697245,173
602,-2.917625346,-3.18917213,114
603,-0.315245842,-0.522142835,108
604,-4.338065739,-4.33873468,88
605,3.135346096,3.038922602,66
606,4.801895876,4.779127849,145
607,2.780694155,2.529026391,58
608,4.115207772,3.986697821,88
609,3.706254893,3.56524372,70
610,5.914138014,5.998586794,99
611,-0.363889161,-0.306548565,145
612,4.34022065,4.278492435,118
613,3.261698263,2.967813953,95
614,1.709971575,1.57816441,127
615,-1.259302838,-1.198462637,123
616,0.891824475,0.95405207,94
617,-0.31180948,-0.287420975,130
618,5.246530903,5.197747824,91
619,0.251545069,0.297571084,146
620,-2.69324284,-2.59531313,152
621,4.084496763,4.024632631,137
622,0.384252254,0.361296003,112
623,-1.073848532,-1.278868444,52
624,1.461240869,1.418689872,119
625,0.038713543,0.049263912,120
626,3.361935019,3.245654519,108
627,-2.484780282,-2.323718777,93
628,-0.632337762,-0.741317096,143
629,0.491958604,0.618467016,97
630,4.947211713,4.778557321,43
631,2.463124503,2.380572456,82
632,0.65866866,0.846550644,164
633,4.896237207,4.922875028,105
634,-3.406966394,-3.301094108,129
635,5.533642538,5.225736299,99
636,-0.219147453,-0.376418494,60
637,0.676597524,0.579143955,70
638,2.922759606,2.894590976,175
639,1.548140211,1.571827783,92
640,0.116092744,0.168611998,24
641,3.177740942,3.071972077,73
642,0.48194907,0.490660975,182
643,-1.684692372,-1.795867271,55
644,-1.859227998,-1.66038978,98
645,-0.818876708,-0.745704234,174
646,2.833244699,2.62138903,41
647,-1.11743233,-1.225461445,97
648,-2.893765628,-2.936145092,220
649,-4.91868473,-5.124217966,91
650,4.438066798,4.267657668,171
651,2.795617462,2.801638566,109
652,3.747216537,3.650865372,152
653,-3.402259024,-3.322453895,235
654,-1.268241763,-1.439008966,128
655,-1.372899487,-1.432971869,67
656,3.797753862,3.536341414,142
657,-1.557823686,-1.658912764,164
658,-1.843788463,-1.777749071,108
659,-0.256711042,-0.233283819,89
660,-1.72398316,-1.688262604,139
661,-2.459349339,-2.19182212,56
662,-0.628275054,-0.604272572,114
663,-2.48184398,-2.339845436,122
664,-2.393314596,-2.503553768,112
665,-9.174078657,-9.096029422,105
666,-1.186615668,-1.245545628,62
667,3.654885837,3.55111967,75
668,-4.548006738,-4.557898939,95
669,2.968124421,2.888953697,184
670,6.175833786,6.248782013,100
671,-1.630777841,-1.609104991,147
672,4.944610998,4.541400888,39
673,-4.007493044,-4.004206308,86
674,6.857677527,6.793773816,135
675,2.688165642,2.748377152,52
676,0.873211682,0.870298109,91
677,0.692195811,0.734627058,122
678,3.914065766,3.852143628,122
679,3.371764796,3.085403948,91
680,-2.896363454,-2.923195719,40
681,-1.358355831,-1.454431295,107
682,2.055092594,2.117909691,92
683,4.725877963,4.331828571,94
684,4.775945718,4.821560063,95
685,1.00084345,1.019981161,103
686,-3.639001972,-3.675652574,117
687,-2.395776371,-2.316517978,116
688,-4.129392097,-4.244359515,46
689,4.582224856,4.59162099,74
690,3.666074183,3.483647181,93
691,5.898398887,5.846535214,134
692,0.126666417,0.115499402,168
693,0.606733163,0.691381896,71
694,3.485653552,3.411038017,120
695,3.128015677,3.109931961,25
696,3.826481522,3.893708312,49
697,1.919411128,1.745228651,25
698,-8.845584934,-8.789763118,118
699,-4.782614735,-4.877211401,106
700,-1.464250712,-1.173297269,51
701,1.652173885,1.727187093,44
702,4.129945713,4.185359407,23
703,-6.994123044,-6.850019,149
704,-0.426996455,-0.562370293,169
705,-3.155433145,-3.089646287,61
706,0.019659617,0.108145487,43
707,2.570104232,2.551689867,119
708,3.632278706,3.669525749,50
709,-1.790497523,-1.655145019,83
710,-2.481662083,-2.616792141,96
711,-1.783709086,-1.978596972,125
712,-1.961211962,-1.956556939,98
713,0.799576814,0.695422136,145
714,-0.008811169,-0.12058184,116
715,2.257213095,2.203916785,148
716,-3.857877015,-3.89861119,94
717,1.479635078,1.288833174,173
718,1.664610553,1.39198447,34
719,-2.318829813,-2.322862983,177
720,0.666067956,0.738608235,24
721,-1.136061485,-1.150416452,115
722,2.150545975,1.998603637,106
723,1.391135896,1.259268702,52
724,-1.43054856,-1.265744146,43
725,2.436104607,2.275115084,105
726,1.205311795,1.17673388,218
727,5.086270233,4.853694426,59
728,0.681802174,0.498216231,155
729,-3.731898843,-3.67528238,165
730,0.326064105,0.335606758,54
731,2.009373256,1.988201089,159
732,2.778239624,2.724713907,123
733,1.176760975,1.018268001,113
734,-2.702690371,-2.854050218,71
735,-6.596815801,-6.583476091,39
736,1.344835105,1.416745833,67
737,-1.929812084,-2.02587075,178
738,-4.477438265,-4.537994238,92
739,-1.087193892,-1.033683226,42
740,-3.065663646,-2.913501581,25
741,-0.620355368,-0.804094285,76
742,3.504802686,3.279154674,169
743,3.020786204,3.028263599,103
744,-2.278512395,-2.496811606,42
745,-3.075695882,-3.244727587,90
746,3.156419939,3.024320109,87
747,7.999847938,7.826354627,106
748,2.802814075,2.799200264,105
749,-4.122444556,-4.30199485,26
750,-6.23183293,-6.18620965,122
751,1.355700789,1.505601966,111
752,1.393591558,1.451066274,217
753,3.754696157,3.77332414,95
754,3.359576456,3.149502616,73
755,-0.939934656,-0.960989858,111
756,-2.704906434,-2.516108639,95
757,-1.155670352,-1.104151506,107
758,0.858939024,0.813985629,163
759,-0.498130252,-0.578991943,64
760,7.969935236,8.023976195,39
761,4.361096791,4.18736879,143
762,4.15976293,4.019393139,110
763,-2.142097259,-2.097690455,79
764,3.347173081,3.030318179,70
765,-2.361935779,-2.322097462,31
766,-2.260642518,-2.407022476,102
767,-5.554515232,-5.789310519,53
768,-0.435169462,-0.390669606,69
769,-0.146353466,0.055600305,22
770,-1.458097869,-1.407849095,228
771,-6.958855048,-6.73938758,165
772,-4.705356353,-4.872118707,57
773,-2.272997241,-2.173283368,104
774,2.449725452,2.336653154,197
775,5.642708406,5.360196745,123
776,-0.772215048,-0.615096194,123
777,4.37740553,4.373392796,252
778,-5.273003485,-5.276316787,152
779,3.853503064,3.906848995,77
780,6.339341657,6.15818259,52
781,4.660815682,4.708357581,100
782,2.857636626,2.825195509,107
783,2.344118267,2.256873242,69
784,4.084797603,3.821845068,107
785,6.980178784,6.873958682,135
786,3.515196858,3.467469251,108
787,-0.50788109,-0.477907556,58
788,6.89009164,6.750352624,88
789,-4.476240048,-4.346927547,102
790,2.091344905,1.940048405,49
791,-2.347977388,-2.463023548,24
792,12.0301882,11.76057576,66
793,-1.060697467,-1.100869458,140
794,-1.904057749,-1.86406827,94
795,-1.9497683,-1.820218454,52
796,1.266145338,1.122812999,68
797,-1.339165919,-1.311859306,109
798,3.686798837,3.594648323,144
799,-4.558356683,-4.660108597,88
800,2.680160765,2.697582727,56
801,0.366932689,0.427266977,104
802,-2.344442104,-2.084679858,91
803,-2.348705545,-2.352062564,229
804,-3.474251026,-3.421487816,172
805,-4.197700884,-4.40225622,147
806,-0.458247525,-0.753685707,34
807,-0.470593589,-0.404493185,139
808,1.075770607,1.230219183,54
809,0.100909459,-0.010688671,123
810,0.94104062,0.925928727,193
811,-1.848832362,-1.93580084,101
812,3.730235358,3.696246658,62
813,-1.56219905,-1.636957102,79
814,1.597526621,1.420669813,182
815,4.356603572,4.41256842,94
816,-4.149429157,-4.226736879,111
817,3.168354924,2.796815737,153
818,0.156787387,0.047385956,75
819,0.817847457,0.993860059,117
820,1.390186303,1.330565631,117
821,3.35310352,3.469515285,119
822,-0.38505948,-0.53029122,55
