store,n
1057,31
1058,31
1059,31
1060,31
1061,31
1062,31
1063,31
1065,31
1067,31
1068,31
1069,31
1070,31
1071,31
1072,31
1073,31
1074,31
968,31
966,31
821,31
872,31
859,31
860,31
861,31
862,31
863,31
864,31
865,31
866,31
867,31
868,31
869,31
870,31
871,31
873,31
855,31
874,31
875,31
876,31
877,31
879,31
880,31
881,31
882,31
884,31
885,31
886,31
887,31
888,31
856,31
854,31
965,31
836,31
822,31
823,31
825,31
826,31
827,31
828,31
829,31
830,31
831,31
832,31
833,31
834,31
835,31
837,31
853,31
838,31
839,31
840,31
842,31
843,31
844,31
845,31
846,31
847,31
848,31
849,31
851,31
852,31
890,31
891,31
893,31
949,31
935,31
936,31
937,31
938,31
939,31
941,31
942,31
943,31
944,31
945,31
946,31
947,31
948,31
950,31
894,31
952,31
953,31
954,31
955,31
956,31
957,31
958,31
959,31
960,31
961,31
962,31
963,31
964,31
934,31
933,31
932,31
930,31
895,31
896,31
897,31
898,31
900,31
904,31
905,31
906,31
907,31
909,31
910,31
911,31
912,31
913,31
915,31
916,31
917,31
920,31
921,31
922,31
923,31
924,31
925,31
926,31
927,31
928,31
929,31
509,31
557,31
507,31
212,31
198,31
199,31
200,31
201,31
202,31
204,31
205,31
206,31
207,31
208,31
209,31
210,31
211,31
213,31
153,31
215,31
216,31
218,31
219,31
220,31
221,31
222,31
223,31
224,31
225,31
226,31
227,31
228,31
197,31
196,31
195,31
194,31
156,31
157,31
159,31
160,31
161,31
162,31
165,31
166,31
167,31
168,31
169,31
170,31
172,31
174,31
175,31
176,31
177,31
178,31
179,31
181,31
183,31
184,31
186,31
187,31
188,31
192,31
193,31
229,31
231,31
232,31
266,31
268,31
269,31
270,31
271,31
272,31
273,31
275,31
277,31
279,31
280,31
281,31
284,31
285,31
288,31
289,31
290,31
291,31
292,31
293,31
294,31
295,31
296,31
298,31
299,31
300,31
301,31
302,31
267,31
265,31
233,31
264,31
234,31
235,31
236,31
237,31
238,31
239,31
240,31
241,31
243,31
244,31
245,31
246,31
247,31
248,31
249,31
250,31
251,31
252,31
253,31
254,31
255,31
256,31
258,31
506,31
260,31
261,31
263,31
155,31
152,31
304,31
55,31
38,31
39,31
41,31
42,31
43,31
44,31
46,31
47,31
48,31
49,31
52,31
53,31
54,31
56,31
151,31
58,31
59,31
60,31
61,31
62,31
63,31
64,31
65,31
66,31
67,31
68,31
69,31
70,31
37,31
36,31
34,31
33,31
2,31
3,31
4,31
5,31
6,31
7,31
8,31
9,31
10,31
11,31
13,31
14,31
15,31
16,31
17,31
18,31
20,31
22,31
23,31
24,31
25,31
26,31
27,31
28,31
29,31
30,31
32,31
72,31
73,31
74,31
111,31
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,31
124,31
125,31
127,31
129,31
130,31
132,31
133,31
134,31
137,31
139,31
140,31
141,31
142,31
145,31
146,31
147,31
149,31
150,31
113,31
110,31
76,31
109,31
77,31
78,31
79,31
81,31
82,31
83,31
84,31
85,31
86,31
87,31
89,31
90,31
91,31
92,31
93,31
94,31
95,31
96,31
97,31
100,31
101,31
102,31
103,31
104,31
105,31
106,31
108,31
303,31
259,31
1114,31
392,31
386,31
387,31
471,31
388,31
469,31
389,31
468,31
390,31
467,31
391,31
393,31
399,31
394,31
466,31
465,31
464,31
395,31
463,31
462,31
396,31
397,31
461,31
472,31
385,31
473,31
474,31
367,31
368,31
369,31
370,31
371,31
372,31
479,31
373,31
374,31
375,31
376,31
434,31
478,31
477,31
378,31
379,31
380,31
381,31
382,31
383,31
475,31
460,31
459,31
366,31
442,31
446,31
417,31
418,31
445,31
444,31
420,31
421,31
422,31
443,31
423,31
424,31
458,31
425,31
441,31
440,31
439,31
438,31
430,31
431,31
437,31
432,31
436,31
447,31
416,31
415,31
448,31
400,31
401,31
402,31
457,31
403,31
306,31
404,31
405,31
455,31
407,31
408,31
454,31
409,31
453,31
410,31
452,31
451,31
413,31
450,31
414,31
449,31
480,31
377,31
334,31
490,31
326,31
327,31
328,31
329,31
330,31
331,31
496,31
495,31
332,31
333,31
365,31
494,31
335,31
336,31
337,31
338,31
339,31
340,31
493,31
492,31
342,31
325,31
498,31
324,31
314,31
307,31
308,31
309,31
310,31
311,31
505,31
312,31
313,31
504,31
315,31
323,31
503,31
317,31
502,31
318,31
501,31
319,31
320,31
321,31
322,31
343,31
435,31
353,31
362,31
356,31
352,31
357,31
351,31
358,31
483,31
359,31
354,31
350,31
349,31
485,31
348,31
361,31
360,31
486,31
482,31
345,31
488,31
481,31
346,31
487,31
355,31
363,31
513,25
1106,25
500,25
1103,25
539,25
45,25
88,25
1011,25
517,25
999,25
546,25
99,25
1003,25
1064,25
1066,25
98,25
1008,25
586,25
35,25
511,25
541,25
1108,25
489,25
1101,25
1037,25
570,25
71,25
1093,25
554,25
1079,25
470,25
1048,25
572,25
1091,25
19,25
57,25
1040,25
533,25
21,25
456,25
51,25
499,25
538,25
476,25
1018,25
12,25
491,25
521,25
80,25
497,25
1055,25
484,25
574,25
31,25
1026,25
75,25
50,25
40,25
305,25
597,25
190,25
711,25
710,25
709,25
347,25
242,25
705,25
701,25
700,25
841,25
230,25
693,25
850,25
364,25
857,25
858,25
217,25
683,25
214,25
676,25
203,25
670,25
878,25
669,25
668,25
883,25
384,25
889,25
344,25
824,25
715,25
738,25
765,25
297,25
770,25
749,25
774,25
316,25
777,25
743,25
287,25
286,25
283,25
282,25
278,25
341,25
276,25
274,25
735,25
796,25
803,25
804,25
805,25
262,25
814,25
257,25
718,25
819,25
191,25
892,25
433,25
189,25
144,25
143,25
951,25
411,25
412,25
138,25
136,25
135,25
619,25
131,25
618,25
128,25
126,25
419,25
611,25
973,25
610,25
976,25
426,25
427,25
114,25
428,25
112,25
603,25
429,25
988,25
107,25
628,25
148,25
406,25
171,25
659,25
185,25
899,25
901,25
902,25
903,25
182,25
180,25
908,25
649,25
914,25
173,25
918,25
632,25
919,25
645,25
398,25
643,25
164,25
163,25
931,25
158,25
637,25
636,25
635,25
940,25
154,25
